time,OD,CarbonSource
30.7880555555556,0.3225,Glycerol
30.8822222222222,0.3225,Glycerol
30.9763888888889,0.322,Glycerol
31.0705555555556,0.3215,Glycerol
31.165,0.3225,Glycerol
31.2591666666667,0.3225,Glycerol
31.3533333333333,0.3225,Glycerol
31.4475,0.323,Glycerol
31.5419444444444,0.3225,Glycerol
31.6361111111111,0.323,Glycerol
31.7302777777778,0.323,Glycerol
31.8244444444444,0.323,Glycerol
31.9186111111111,0.323,Glycerol
32.0127777777778,0.323,Glycerol
32.1069444444444,0.323,Glycerol
32.2011111111111,0.323,Glycerol
32.2952777777778,0.3235,Glycerol
32.3894444444445,0.3235,Glycerol
32.4836111111111,0.3235,Glycerol
32.5777777777778,0.324,Glycerol
32.6719444444444,0.3235,Glycerol
32.7661111111111,0.324,Glycerol
32.8602777777778,0.324,Glycerol
32.9544444444444,0.324,Glycerol
33.0486111111111,0.324,Glycerol
33.1427777777778,0.3235,Glycerol
33.2369444444444,0.324,Glycerol
33.3311111111111,0.324,Glycerol
33.4252777777778,0.324,Glycerol
33.5194444444444,0.3245,Glycerol
33.6136111111111,0.3245,Glycerol
33.7077777777778,0.324,Glycerol
33.8019444444444,0.324,Glycerol
33.8961111111111,0.324,Glycerol
33.9902777777778,0.3245,Glycerol
34.0844444444444,0.324,Glycerol
34.1786111111111,0.3245,Glycerol
34.2727777777778,0.3245,Glycerol
34.3669444444444,0.3245,Glycerol
34.4611111111111,0.325,Glycerol
34.5552777777778,0.324,Glycerol
34.6494444444444,0.325,Glycerol
34.7436111111111,0.325,Glycerol
34.8377777777778,0.325,Glycerol
34.9319444444444,0.325,Glycerol
35.0261111111111,0.3245,Glycerol
35.1202777777778,0.3255,Glycerol
35.2144444444444,0.325,Glycerol
35.3088888888889,0.325,Glycerol
35.4030555555556,0.325,Glycerol
35.4969444444444,0.3255,Glycerol
35.5913888888889,0.325,Glycerol
35.6855555555556,0.3255,Glycerol
35.7797222222222,0.325,Glycerol
35.8738888888889,0.3255,Glycerol
35.9680555555556,0.326,Glycerol
36.0622222222222,0.3255,Glycerol
36.1563888888889,0.3255,Glycerol
36.2505555555556,0.325,Glycerol
36.3447222222222,0.326,Glycerol
